entity,attribute
carts,[]
application,[]
json,[]
Mapped,
methods,browser
public,
na,[]
java.lang.String,[]
GET,[]
repository,[]
org.springframework.data.rest.webmvc.RootResourceInformation,[]
hal,[]
charset,[]
UTF,[]
java.lang.Object,[]
type,orgspringframeworkcloudsleuthinstrumentwebTraceWebAutoConfiguration
org.springframework.http.ResponseEntity,[]
throws,[]
class,[]
server,921506
ost,[]
org.springframework.hateoas.ResourceSupport,[]
org.springframework.data.rest.webmvc.PersistentEntityResourceAssembler,[]
bean,[]
search,[]
java.io.Serializable,[]
JMX,refreshEndpoint
Mapping,servletdispatcherServlet
Bean,orgspringframeworkcloudsleuthinstrumentwebTraceWebAutoConfigurationEnhancerBySpringCGLIBecb4cb09
path,[]
org.springframework.web.HttpRequestMethodNotSupportedException,[]
org.springframework.http.HttpEntity,[]
POST,[]
thread,[]
customerId,[]
Exception,[]
id,[]
true,[]
text,[]
property,[]
profile,[]
org.springframework.web.servlet.resource.ResourceHttpRequestHandler,[]
name,orgspringframeworkcloudendpoint
javax.servlet.http.HttpServletRequest,[]
java.lang.Exception,[]
handler,[]
exposure,[]
as,[]
URL,[]
works.weave.socks.cart.entities.Item,[]
void,[]
startup,[]
registering,[]
org.springframework.data.rest.webmvc.support.DefaultedPageable,[]
org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration,[]
items,[]
autodetected,[]
Tomcat,startedon
MBean,[]
HEAD,[]
x,[]
while,[]
versionList,[]
version,[]
state,[]
spring,[]
serverValue,43
roundTripTimeNanos,[]
refreshScope,[]
proxying,[]
out,[]
org.springframework.data.rest.webmvc.ResourceNotFoundException,[]
org.springframework.data.domain.Sort,[]
org.springframework.context.annotation.AnnotationConfigApplicationContext,[]
ok,[]
null,[]
monitor,[]
minWireVersion,[]
maxWireVersion,[]
maxDocumentSize,[]
localValue,[]
java.util.Map,[]
example,[]
description,[]
date,[]
data,[]
connectionId,[]
connection,
connected,[]
compact,[]
all,[]
ServerVersion,[]
ServerDescription,[]
STANDALONE,[]
Opened,[]
Nov,[]
Monitor,[]
Method,[]
GMT,[]
Fri,[]
BeanPostProcessors,[]
51521cc1,[]
1b40d5f0,[]
uri,[]
resource,[]
parent,[]
org.springframework.util.MultiValueMap,[]
org.springframework.hateoas.Resources,[]
org.springframework.data.rest.webmvc.support.ETag,[]
org.springframework.data.rest.webmvc.PersistentEntityResource,[]
org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext,[]
managementServletContext,[]
list,[]
definition,[]
default,[]
configurationPropertiesRebinder,[]
beans,[]
a,[]
Starting,[]
Root,[]
PATCH,[]
static,[]
springframework,[]
servlet,[]
scope,[]
s,[]
port,[]
org.springframework.data.rest.webmvc.RepositoryPropertyReferenceController.followPropertyReference,[]
org,[]
on,[]
ms,[]
lazyInit,[]
javax.servlet.http.HttpServletResponse,[]
itemId,[]
initMethodName,[]
http,[]
factoryMethodName,[]
factoryBeanName,[]
error,[]
destroyMethodName,[]
dependencyCheck,[]
context,[]
boot,[]
autowireMode,[]
autowireCandidate,[]
autoconfigure,[]
actuate,[]
abstract,[]
WebApplicationContext,[]
VM,[]
Spring,[]
Server,[]
Initializing,[]
ControllerAdvice,[]
works.weave.socks.cart.controllers.ItemsController.get,[]
typical,[]
such,[]
stream,[]
singleton,[]
since,[]
settings,[]
service,[]
serverSelectionTimeout,[]
seconds,[]
root,[]
return,[]
rest,[]
requiredClusterType,[]
replacing,[]
refresh,[]
properties,[]
profiles,[]
phase,[]
org.springframework.http.HttpMethod,[]
org.springframework.hateoas.Resource,[]
org.springframework.data.rest.webmvc.RepositorySearchController.executeSearchCompact,[]
org.springframework.data.rest.webmvc.RepositorySearchController.executeSearch,[]
org.springframework.data.rest.webmvc.RepositoryPropertyReferenceController.followPropertyReferenceCompact,[]
org.springframework.data.rest.webmvc.RepositoryPropertyReferenceController.createPropertyReference,[]
org.springframework.data.rest.webmvc.RepositoryEntityController.putItemResource,[]
org.springframework.data.rest.webmvc.RepositoryEntityController.patchItemResource,[]
org.springframework.data.rest.webmvc.RepositoryEntityController.headForItemResource,[]
org.springframework.data.rest.webmvc.ProfileController.listAllFormsOfMetadata,[]
org.springframework.boot.autoconfigure.web.BasicErrorController.error,[]
org.springframework.boot.actuate.endpoint.mvc.HeapdumpMvcEndpoint.invoke,[]
org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration,[]
octet,[]
non,[]
mode,[]
method,[]
messages.properties,[]
maxWaitQueueSize,[]
javax.servlet.ServletException,[]
java.io.IOException,[]
its,[]
instance,[]
initialization,[]
hierarchy,[]
heapdump.json,[]
heapdump,[]
from,[]
file,[]
dump.json,[]
dump,[]
d1b2bda21648,[]
autoconfig,[]
ationConfigEmbeddedWebApplicationContext,[]
a326,[]
The,[]
Servlet,[]
Registering,[]
Loading,[]
JVM,[]
ExecutorService,[]
Engine,[]
EndpointWebMvcHypermediaManagementContextConfiguration.class,[]
EndpointWebMvcAutoConfiguration.class,[]
Consider,[]
ConfigurationPropertiesRebinder,[]
Configuration,[]
Cluster,[]
CartApplication,[]
BeanFactory,[]
BeanDefinitionRegistryPostProcessor,[]
Apache,[]
8.5.11,[]
5e44614a,[]
266.136,[]
197.748,[]
